1.218600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.218500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.218400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.218300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.218200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.218100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.218000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.217000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.216000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.215000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.214000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.213000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.212000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.211000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.210000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.209000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.208000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.207000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.206000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.205000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.204000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203500000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203400000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203300000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203200000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203100000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.203000000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.202900000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.202800000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.202700000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
1.202600000000000000e+04 0.000000000000000000e+00 0.000000000000000000e+00 -2.243480780368758604e-33
